"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001/2002","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","7943.8","","","","1"
"2002/2003","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","8703.7","","","","1"
"2003/2004","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","9173.6","","","","1"
"2004/2005","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","9787.0","","","","1"
"2005/2006","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","11040.3","","","","1"
"2006/2007","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","12168.9","","","","1"
"2007/2008","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","12972.7","","","","1"
"2008/2009","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","13548.0","","","","1"
"2009/2010","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","13739.3","","","","1"
"2010/2011","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","13086.3","","","","1"
"2011/2012","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","13369.3","","","","1"
"2012/2013","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","13739.0","","","","1"
"2013/2014","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","11494.1","","","","1"
"2014/2015","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","13650.3","","","","1"
"2015/2016","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","14898.9","","","","1"
"2016/2017","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","15416.5","","","","1"
"2017/2018","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","14832.7","","","","1"
"2018/2019","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","14778.4","","","","1"
"2019/2020","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","15505.3","","","","1"
"2020/2021","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","12752.5","","","","1"
"2021/2022","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","14414.5","","","","1"
"2022/2023","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","16193.9","","","","1"
"2023/2024","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","19334.5","","","","1"
"1978/1979","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","21.0","","","","1"
"1979/1980","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","22.0","","","","1"
"1980/1981","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","22.0","","","","1"
"1981/1982","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","32.0","","","","1"
"1982/1983","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","44.0","","","","1"
"1983/1984","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","11.0","","","","1"
"1984/1985","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","6.0","","","","1"
"1985/1986","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","64.0","","","","1"
"1986/1987","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","37.0","","","","1"
"1987/1988","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","41.0","","","","1"
"1988/1989","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","53.0","","","","1"
"1989/1990","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","48.0","","","","1"
"1990/1991","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","52.0","","","","1"
"1991/1992","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","68.0","","","","1"
"1992/1993","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","121.0","","","","1"
"1993/1994","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","100.0","","","","1"
"1994/1995","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","168.0","","","","1"
"1995/1996","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","223.1","","","","1"
"1996/1997","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","267.7","","","","1"
"1997/1998","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","272.5","","","","1"
"1998/1999","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","253.3","","","","1"
"1999/2000","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","513.2","","","","1"
"2000/2001","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","408.0","","","","1"
"2001/2002","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","304.1","","","","1"
"2002/2003","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","320.6","","","","1"
"2003/2004","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","317.7","","","","1"
"2004/2005","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","313.9","","","","1"
"2005/2006","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","277.4","","","","1"
"2006/2007","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","283.1","","","","1"
"2007/2008","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","314.5","","","","1"
"2008/2009","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","311.1","","","","1"
"2009/2010","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","307.8","","","","1"
"2010/2011","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","426.9","","","","1"
"2011/2012","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","307.6","","","","1"
"2012/2013","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","307.8","","","","1"
